fast,slow,signal,win,lose,result,winrate
3,23,9,218,129,1056669.4199999997,62.82420749279539
9,23,3,218,129,1056669.4199999997,62.82420749279539
3,22,8,228,135,1118330.9399999995,62.8099173553719
8,22,3,228,135,1118330.9399999995,62.8099173553719
5,24,7,179,106,800274.1399999995,62.80701754385965
7,24,5,179,106,800274.1399999995,62.80701754385965
4,24,7,206,122,983257.4999999998,62.80487804878049
7,24,4,206,122,983257.4999999998,62.80487804878049
5,19,8,177,105,781070.6899999997,62.765957446808514
8,19,5,177,105,781070.6899999997,62.765957446808514
4,19,9,192,114,899983.8299999993,62.745098039215684
9,19,4,192,114,899983.8299999993,62.745098039215684
2,24,5,308,183,1543760.3700000008,62.729124236252545
5,24,2,308,183,1543760.3700000008,62.729124236252545
4,23,6,222,132,1076161.2699999998,62.71186440677966
6,23,4,222,132,1076161.2699999998,62.71186440677966
5,22,8,168,100,725794.79,62.6865671641791
8,22,5,168,100,725794.79,62.6865671641791
6,23,6,178,106,795487.1399999995,62.67605633802817
5,20,7,188,112,882329.3299999994,62.666666666666664
7,20,5,188,112,882329.3299999994,62.666666666666664
2,23,9,260,155,1279397.5899999999,62.65060240963855
9,23,2,260,155,1279397.5899999999,62.65060240963855
2,15,7,295,176,1448967.8500000006,62.632696390658175
7,15,2,295,176,1448967.8500000006,62.632696390658175
2,18,6,300,179,1483377.6000000008,62.63048016701461
6,18,2,300,179,1483377.6000000008,62.63048016701461
6,20,9,144,86,526393.9800000002,62.608695652173914
7,22,7,144,86,531115.8800000001,62.608695652173914
9,20,6,144,86,526393.9800000002,62.608695652173914
3,20,9,221,132,1086268.0899999999,62.60623229461756
9,20,3,221,132,1086268.0899999999,62.60623229461756
5,22,9,159,95,645164.16,62.59842519685039
9,22,5,159,95,645164.16,62.59842519685039
3,21,7,246,147,1216103.1399999997,62.595419847328245
7,21,3,246,147,1216103.1399999997,62.595419847328245
6,21,9,142,85,510719.0400000001,62.55506607929515
9,21,6,142,85,510719.0400000001,62.55506607929515
6,22,8,147,88,548695.41,62.5531914893617
8,22,6,147,88,548695.41,62.5531914893617
4,21,8,197,118,934736.7999999993,62.53968253968254
8,21,4,197,118,934736.7999999993,62.53968253968254
2,22,5,312,187,1575971.670000001,62.5250501002004
5,22,2,312,187,1575971.670000001,62.5250501002004
4,17,9,200,120,961472.7799999994,62.5
5,24,8,165,99,713619.1100000001,62.5
6,21,6,180,108,820704.5799999997,62.5
7,21,8,140,84,497644.39000000013,62.5
8,21,7,140,84,497644.39000000013,62.5
8,24,5,165,99,713619.1100000001,62.5
9,17,4,200,120,961472.7799999994,62.5
4,22,6,223,134,1079032.0199999998,62.46498599439776
6,22,4,223,134,1079032.0199999998,62.46498599439776
6,20,6,183,110,826230.8799999993,62.45733788395904
7,20,9,133,80,483172.1400000004,62.44131455399061
9,20,7,133,80,483172.1400000004,62.44131455399061
2,22,9,261,157,1290116.0399999998,62.44019138755981
9,22,2,261,157,1290116.0399999998,62.44019138755981
3,20,7,246,148,1217650.7399999998,62.43654822335025
7,20,3,246,148,1217650.7399999998,62.43654822335025
2,20,5,312,188,1546214.2000000011,62.4
5,20,2,312,188,1546214.2000000011,62.4
2,14,7,297,179,1454275.3500000006,62.39495798319328
7,14,2,297,179,1454275.3500000006,62.39495798319328
2,13,8,292,176,1435545.0000000005,62.39316239316239
3,21,9,219,132,1094412.2199999995,62.39316239316239
8,13,2,292,176,1435545.0000000005,62.39316239316239
9,21,3,219,132,1094412.2199999995,62.39316239316239
3,24,6,252,152,1263452.9899999998,62.37623762376238
6,24,3,252,152,1263452.9899999998,62.37623762376238
8,21,9,126,76,444633.0800000004,62.37623762376238
9,21,8,126,76,444633.0800000004,62.37623762376238
3,22,7,242,146,1190840.3899999997,62.371134020618555
7,22,3,242,146,1190840.3899999997,62.371134020618555
9,20,9,121,73,423209.9900000008,62.371134020618555
5,19,9,164,99,703809.66,62.3574144486692
9,19,5,164,99,703809.66,62.3574144486692
5,19,7,192,116,912992.5799999994,62.33766233766234
7,19,5,192,116,912992.5799999994,62.33766233766234
4,18,9,195,118,921386.3299999994,62.30031948881789
9,18,4,195,118,921386.3299999994,62.30031948881789
3,16,8,246,149,1180014.5499999998,62.278481012658226
8,16,3,246,149,1180014.5499999998,62.278481012658226
5,13,8,198,120,913874.0399999996,62.264150943396224
5,23,8,165,100,702049.86,62.264150943396224
8,13,5,198,120,913874.0399999996,62.264150943396224
8,23,5,165,100,702049.86,62.264150943396224
5,23,5,216,131,1047186.7699999997,62.247838616714695
2,14,6,305,185,1503770.2000000011,62.244897959183675
6,14,2,305,185,1503770.2000000011,62.244897959183675
2,12,8,295,179,1443039.9000000006,62.23628691983122
2,19,6,295,179,1459489.1000000008,62.23628691983122
6,19,2,295,179,1459489.1000000008,62.23628691983122
8,12,2,295,179,1443039.9000000006,62.23628691983122
3,24,7,234,142,1152740.6399999997,62.234042553191486
7,24,3,234,142,1152740.6399999997,62.234042553191486
3,17,7,252,153,1219061.3499999996,62.22222222222222
3,23,6,252,153,1255287.9899999998,62.22222222222222
6,23,3,252,153,1255287.9899999998,62.22222222222222
7,17,3,252,153,1219061.3499999996,62.22222222222222
6,21,7,163,99,697360.0600000002,62.213740458015266
7,21,6,163,99,697360.0600000002,62.213740458015266
4,17,8,209,127,997427.3999999998,62.20238095238095
8,17,4,209,127,997427.3999999998,62.20238095238095
8,20,9,125,76,443663.36000000045,62.18905472636816
9,20,8,125,76,443663.36000000045,62.18905472636816
2,17,6,299,182,1470271.0000000007,62.16216216216216
4,23,7,207,126,1002866.3499999996,62.16216216216216
6,17,2,299,182,1470271.0000000007,62.16216216216216
7,23,4,207,126,1002866.3499999996,62.16216216216216
2,17,7,289,176,1417008.4000000006,62.1505376344086
7,17,2,289,176,1417008.4000000006,62.1505376344086
2,21,5,310,189,1542420.2000000011,62.124248496993985
5,21,2,310,189,1542420.2000000011,62.124248496993985
2,14,8,287,175,1403603.8500000006,62.121212121212125
2,18,7,287,175,1410687.7500000005,62.121212121212125
4,18,8,205,125,974294.7499999998,62.121212121212125
5,20,6,205,125,972472.9999999998,62.121212121212125
6,20,5,205,125,972472.9999999998,62.121212121212125
7,18,2,287,175,1410687.7500000005,62.121212121212125
8,14,2,287,175,1403603.8500000006,62.121212121212125
8,18,4,205,125,974294.7499999998,62.121212121212125
4,12,5,264,161,1271204.5699999996,62.11764705882353
5,12,4,264,161,1271204.5699999996,62.11764705882353
8,20,8,131,80,469936.6600000004,62.08530805687204
2,13,7,298,182,1458834.5500000005,62.083333333333336
7,13,2,298,182,1458834.5500000005,62.083333333333336
4,23,5,239,146,1173926.3399999999,62.077922077922075
5,23,4,239,146,1173926.3399999999,62.077922077922075
